INDICATOR_CODE,PCA_EXCL_NAME,PCA_EXCL_SHORT_NAME,PCA_EXCL_DESCRIPTION,TYPE,GENERAL_SPECIFIC,PCA_CATEGORY,PCA_CATEGORY_DESCRIPTION
AF006,AFIBINVITE1,AFIBINV1,"Patient has not responded to at least two atrial fibrillation care review invitations, made at least 7 days apart, in the 12 months leading up to and including the payment period end date.",PCA,General,4,"The patient has not responded to invitations for the intervention described in the indicator (a minimum of two invitations for the intervention in the preceding 12 months, except for the cervical screening indicators.where women should receive a total of three invitations for screening)."
AF006,AFIBPCADEC_DAT,AFIBPCADEC,Patient chose not to receive atrial fibrillation quality indicator care in the 12 months leading up to and including the payment period end date.,PCA,General,3,The patient has chosen not to receive the intervention described in the indicator.
AF006,AFIBPCAPU,AFIBPCAPU,Patient for whom atrial fibrillation quality indicator care was unsuitable in the 12 months leading up to and including the payment period end date.,PCA,General,2,Intervention described in the indicator is clinically unsuitable.
AF006,CHAD_VAL2,CHAD_VAL2,Patient's latest CHADS2 or CHA2DS2-VASc stroke risk assessment was recorded at least 12 months prior to the payment period end date and had a score of 2 or more. ,Exclusion,n/a,n/a,n/a
AF006,DIAG_DAT,DIAG1_DAT,Patient diagnosed within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
AF006,REG_DAT3,REG1_DAT3,Patient registered within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
AF007,AFIBINVITE1,AFIBINV1,"Patient has not responded to at least two atrial fibrillation care review invitations, made at least 7 days apart, in the 12 months leading up to and including the payment period end date.",PCA,General,4,"The patient has not responded to invitations for the intervention described in the indicator (a minimum of two invitations for the intervention in the preceding 12 months, except for the cervical screening indicators.where women should receive a total of three invitations for screening)."
AF007,AFIBPCADEC_DAT,AFIBPCADEC,Patient chose not to receive atrial fibrillation quality indicator care in the 12 months leading up to and including the payment period end date.,PCA,General,3,The patient has chosen not to receive the intervention described in the indicator.
AF007,AFIBPCAPU,AFIBPCAPU,Patient for whom atrial fibrillation quality indicator care was unsuitable in the 12 months leading up to and including the payment period end date.,PCA,General,2,Intervention described in the indicator is clinically unsuitable.
AF007,CHADVASC_VAL,CHADVASC,Patient’s most recent CHA2DS2-VASc or CHADS2 stroke risk assessment score is less than or equal to 1,Exclusion,n/a,n/a,n/a
AF007,DIAG_DAT,DIAG1_DAT,Patient diagnosed within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
AF007,ORANTICOAGDEC,ORANTCOADC,Patient chose not to receive an oral anticoagulant in the 12 months leading up to and including the payment period end date.,PCA,Specific,3,The patient has chosen not to receive the intervention described in the indicator.
AF007,REG_DAT3,REG1_DAT3,Patient registered within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
AF007,TXORANTICOAG_DAT,TXORANTCOA,Patient has an expiring oral anticoagulant contraindication recorded in the last 12 months.,PCA,Specific,2,Intervention described in the indicator is clinically unsuitable.
AF007,XOANTC_COD,XOANTC_COD,Patient has persisting anticoagulant contraindications recorded anywhere in their record,PCA,Specific,2,Intervention described in the indicator is clinically unsuitable.
