PRACTICE_CODE,GROUP_CODE,REGISTER,PATIENT_LIST_TYPE,PRACTICE_LIST_SIZE
A81001,AF,95,TOTAL,4098
A81001,AST,333,06OV,3852
A81001,CAN,149,TOTAL,4098
A81001,CHD,155,TOTAL,4098
A81001,CKD,117,18OV,3249
A81001,COPD,116,TOTAL,4098
A81001,DEM,29,TOTAL,4098
A81001,DEP,311,18OV,3249
A81001,DM,292,17OV,3291
A81001,EP,40,18OV,3249
A81001,HF,55,TOTAL,4098
A81001,HYP,596,TOTAL,4098
A81001,LD,27,TOTAL,4098
A81001,MH,51,TOTAL,4098
A81001,NDH,103,18OV,3249
A81001,OB,195,18OV,3249
A81001,OST,9,50OV,1710
A81001,PAD,34,TOTAL,4098
A81001,PC,49,TOTAL,4098
A81001,RA,25,16OV,3338
A81001,STIA,101,TOTAL,4098
A81002,AF,510,TOTAL,18809
A81002,AST,1300,06OV,17765
A81002,CAN,682,TOTAL,18809
A81002,CHD,884,TOTAL,18809
A81002,CKD,809,18OV,15300
A81002,COPD,644,TOTAL,18809
A81002,DEM,194,TOTAL,18809
A81002,DEP,2854,18OV,15300
A81002,DM,1252,17OV,15500
A81002,EP,150,18OV,15300
A81002,HF,232,TOTAL,18809
A81002,HYP,3318,TOTAL,18809
A81002,LD,103,TOTAL,18809
A81002,MH,155,TOTAL,18809
A81002,NDH,941,18OV,15300
A81002,OB,1726,18OV,15300
A81002,OST,113,50OV,8529
A81002,PAD,187,TOTAL,18809
A81002,PC,97,TOTAL,18809
A81002,RA,123,16OV,15688
A81002,STIA,510,TOTAL,18809
A81004,AF,269,TOTAL,11029
A81004,AST,646,06OV,10261
A81004,CAN,378,TOTAL,11029
A81004,CHD,396,TOTAL,11029
A81004,CKD,433,18OV,8783
A81004,COPD,296,TOTAL,11029
A81004,DEM,103,TOTAL,11029
A81004,DEP,835,18OV,8783
A81004,DM,618,17OV,8901
A81004,EP,83,18OV,8783
A81004,HF,98,TOTAL,11029
A81004,HYP,1585,TOTAL,11029
A81004,LD,81,TOTAL,11029
A81004,MH,78,TOTAL,11029
A81004,NDH,758,18OV,8783
A81004,OB,1192,18OV,8783
A81004,OST,41,50OV,4151
A81004,PAD,62,TOTAL,11029
A81004,PC,56,TOTAL,11029
A81004,RA,74,16OV,9009
A81004,STIA,238,TOTAL,11029
A81005,AF,237,TOTAL,8146
A81005,AST,493,06OV,7754
A81005,CAN,392,TOTAL,8146
A81005,CHD,344,TOTAL,8146
A81005,CKD,121,18OV,6701
A81005,COPD,215,TOTAL,8146
A81005,DEM,85,TOTAL,8146
A81005,DEP,738,18OV,6701
A81005,DM,518,17OV,6779
A81005,EP,56,18OV,6701
A81005,HF,63,TOTAL,8146
A81005,HYP,1465,TOTAL,8146
A81005,LD,31,TOTAL,8146
A81005,MH,87,TOTAL,8146
A81005,NDH,337,18OV,6701
A81005,OB,497,18OV,6701
A81005,OST,26,50OV,4060
A81005,PAD,41,TOTAL,8146
A81005,PC,44,TOTAL,8146
A81005,RA,59,16OV,6865
A81005,STIA,208,TOTAL,8146
A81006,AF,364,TOTAL,14629
A81006,AST,1008,06OV,13700
A81006,CAN,438,TOTAL,14629
A81006,CHD,590,TOTAL,14629
A81006,CKD,344,18OV,11503
A81006,COPD,555,TOTAL,14629
A81006,DEM,154,TOTAL,14629
A81006,DEP,1807,18OV,11503
A81006,DM,984,17OV,11662
A81006,EP,130,18OV,11503
A81006,HF,208,TOTAL,14629
A81006,HYP,2275,TOTAL,14629
A81006,LD,121,TOTAL,14629
A81006,MH,135,TOTAL,14629
A81006,NDH,771,18OV,11503
A81006,OB,982,18OV,11503
A81006,OST,77,50OV,5766
A81006,PAD,117,TOTAL,14629
A81006,PC,122,TOTAL,14629
A81006,RA,94,16OV,11829
A81006,STIA,376,TOTAL,14629
A81007,AF,256,TOTAL,9918
A81007,AST,657,06OV,9303
A81007,CAN,390,TOTAL,9918
A81007,CHD,409,TOTAL,9918
A81007,CKD,370,18OV,7866
A81007,COPD,412,TOTAL,9918
A81007,DEM,91,TOTAL,9918
A81007,DEP,1508,18OV,7866
A81007,DM,613,17OV,7983
A81007,EP,81,18OV,7866
A81007,HF,94,TOTAL,9918
A81007,HYP,1531,TOTAL,9918
A81007,LD,74,TOTAL,9918
A81007,MH,83,TOTAL,9918
A81007,NDH,307,18OV,7866
A81007,OB,577,18OV,7866
A81007,OST,6,50OV,4025
A81007,PAD,91,TOTAL,9918
A81007,PC,56,TOTAL,9918
A81007,RA,81,16OV,8107
A81007,STIA,246,TOTAL,9918
A81009,AF,198,TOTAL,8326
A81009,AST,506,06OV,7834
A81009,CAN,215,TOTAL,8326
A81009,CHD,291,TOTAL,8326
A81009,CKD,218,18OV,6578
A81009,COPD,209,TOTAL,8326
A81009,DEM,61,TOTAL,8326
A81009,DEP,471,18OV,6578
A81009,DM,574,17OV,6687
A81009,EP,96,18OV,6578
A81009,HF,56,TOTAL,8326
A81009,HYP,1147,TOTAL,8326
A81009,LD,108,TOTAL,8326
A81009,MH,116,TOTAL,8326
A81009,NDH,630,18OV,6578
A81009,OB,861,18OV,6578
A81009,OST,14,50OV,3260
A81009,PAD,84,TOTAL,8326
A81009,PC,31,TOTAL,8326
A81009,RA,42,16OV,6785
A81009,STIA,172,TOTAL,8326
A81011,AF,248,TOTAL,11702
A81011,AST,844,06OV,10951
A81011,CAN,431,TOTAL,11702
A81011,CHD,616,TOTAL,11702
A81011,CKD,516,18OV,9434
A81011,COPD,486,TOTAL,11702
A81011,DEM,103,TOTAL,11702
A81011,DEP,2027,18OV,9434
A81011,DM,779,17OV,9558
A81011,EP,117,18OV,9434
A81011,HF,134,TOTAL,11702
A81011,HYP,2169,TOTAL,11702
